date,open,high,low,close,volume,_id,moving_avg_3,moving_avg_6,moving_avg_12,rolling_mean,rolling_std,upper_band,lower_band,monthly_return,ema12,ema26,macd,signal_line
2000-11-30,21.5,25.75,16.75,16.81,79807100,6789eb6b667ae4167c192101,19.98,27.313333333333333,38.765,19.98,2.9668670344321035,25.91373406886421,14.046265931135792,-25.91449977963862,33.531453010640355,39.241626718833245,-5.71017370819289,-2.2918901653794364
2000-12-29,18.25,20.13,16.56,17.25,62413700,6789eb6b667ae4167c192100,18.916666666666668,23.761666666666667,36.4525,18.916666666666668,3.2751997394560934,25.467066145578855,12.366267187754481,2.617489589530053,31.026614085926454,37.61261733225301,-6.586003246326555,-3.1507127815688607
2001-01-31,18.13,26.63,16.88,24.14,91826100,6789eb6b667ae4167c1920ff,19.400000000000002,22.721666666666668,34.141666666666666,19.400000000000002,4.1108514933040246,27.62170298660805,11.178297013391953,39.94202898550725,29.967134995783923,36.614645678012046,-6.647510682228123,-3.8500723617007133
2001-02-28,23.5,24.2,18.82,18.83,62871900,6789eb6b667ae4167c1920fe,20.073333333333334,20.026666666666667,30.72666666666667,20.073333333333334,3.6093535894025774,27.292040512138488,12.85462615452818,-21.99668599834301,28.253729611817164,35.29726451667782,-7.043534904860657,-4.4887648703327026
2001-03-30,18.0,21.59,17.15,19.5,75974600,6789eb6b667ae4167c1920fd,20.823333333333334,19.87,27.60166666666667,20.823333333333334,2.891787221310255,26.606907775953843,15.039758890712825,3.558151885289451,26.907001979229907,34.127096774701684,-7.220094795471777,-5.035030855360517
2001-04-30,18.95,24.5,16.56,24.24,109750200,6789eb6b667ae4167c1920fc,20.856666666666666,20.128333333333334,25.2625,20.856666666666666,2.949141117907597,26.75494890248186,14.95838443085147,24.307692307692296,26.496693982425306,33.39471923583489,-6.898025253409585,-5.407629734970331
2001-05-31,24.05,24.98,19.5,19.86,152262500,6789eb6b667ae4167c1920fb,21.2,20.636666666666667,23.974999999999998,21.2,2.638863391689676,26.477726783379353,15.922273216620647,-18.069306930693063,25.475664138975258,32.39214744058786,-6.916483301612605,-5.709400448298785
2001-06-29,19.9,22.55,13.46,15.19,136419800,6789eb6b667ae4167c1920fa,19.763333333333332,20.293333333333333,22.0275,19.763333333333332,4.525774335219693,28.814882003772716,10.711784662893946,-23.51460221550856,23.893254271440604,31.117914296840613,-7.224660025400009,-6.012452363719031
2001-07-31,15.2,16.47,13.15,16.3,115827100,6789eb6b667ae4167c1920f9,17.116666666666667,18.986666666666668,20.854166666666668,17.116666666666667,2.439760917248495,21.996188501163658,12.237144832169676,7.307439104674129,22.72506130660359,30.020291015593163,-7.295229708989574,-6.2690078327731396
2001-08-31,16.75,17.5,11.84,12.98,233667600,6789eb6b667ae4167c1920f8,14.823333333333332,18.011666666666667,19.019166666666667,14.823333333333332,1.6900986164520622,18.203530566237458,11.443136100429207,-20.368098159509206,21.225821105587652,28.758047236660335,-7.532226131072683,-6.521651492433049
2001-09-28,13.05,13.51,8.39,9.49,94506600,6789eb6b667ae4167c1920f7,12.923333333333334,16.343333333333334,18.106666666666666,12.923333333333334,3.405353628234979,19.734040589803293,6.112626076863376,-26.887519260400616,19.420310166266475,27.3307844783892,-7.910474312122727,-6.799416056370985
2001-10-31,9.2,14.07,8.45,12.91,155047400,6789eb6b667ae4167c1920f6,11.793333333333335,14.454999999999998,17.291666666666668,11.793333333333335,1.9950522131846853,15.783437759702705,7.803228906963964,36.03793466807166,18.418723986840863,26.262578220730745,-7.843854233889882,-7.008303691874765
2001-11-30,13.0,16.74,12.65,15.93,175831100,6789eb6b667ae4167c1920f5,12.776666666666666,13.800000000000002,17.218333333333334,12.776666666666666,3.222069728192289,19.220806123051243,6.3325272102820875,23.39271882261813,18.03584337348073,25.497202056232172,-7.461358682751442,-7.098914690050101
2001-12-31,16.4,19.49,15.86,17.17,147108400,6789eb6b667ae4167c1920f4,15.336666666666666,14.13,17.21166666666667,15.336666666666666,2.191103222884125,19.718873112434917,10.954460220898415,7.784055241682375,17.90263670063754,24.88037227428905,-6.977735573651511,-7.074678866770384
2002-01-31,17.5,20.14,16.86,16.97,171341500,6789eb6b667ae4167c1920f3,16.69,14.241666666666667,16.614166666666666,16.69,0.6657326790836507,18.0214653581673,15.3585346418327,-1.164822364589413,17.759154131308687,24.294418772489863,-6.5352646411811754,-6.966796021652542
